city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,is_stem_major,experience_level,is_active_learner,stability_col
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,300.0,Unknown,1.0,36.0,1.0,1.0,3.0,0.0,0.05
city_40,0.7759999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,15.0,75.0,Pvt Ltd,5.0,47.0,0.0,1.0,2.0,0.0,0.33
city_21,0.624,Unknown,No relevent experience,Full time course,Graduate,STEM,5.0,300.0,Unknown,0.0,83.0,0.0,1.0,1.0,1.0,0.0
city_115,0.789,Unknown,No relevent experience,Unknown,Graduate,Business Degree,0.0,300.0,Pvt Ltd,0.0,52.0,1.0,0.0,0.0,0.0,0.0
city_162,0.767,Male,Has relevent experience,no_enrollment,Masters,STEM,21.0,75.0,Funded Startup,4.0,8.0,0.0,1.0,3.0,0.0,0.19
city_176,0.764,Unknown,Has relevent experience,Part time course,Graduate,STEM,11.0,300.0,Unknown,1.0,24.0,1.0,1.0,2.0,1.0,0.09
city_160,0.92,Male,Has relevent experience,no_enrollment,High School,Unknown,5.0,75.0,Funded Startup,1.0,24.0,0.0,0.0,1.0,0.0,0.2
city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,13.0,9.0,Pvt Ltd,5.0,18.0,1.0,1.0,2.0,0.0,0.38
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7.0,75.0,Pvt Ltd,1.0,46.0,1.0,1.0,1.0,0.0,0.14
city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,17.0,10005.0,Pvt Ltd,5.0,123.0,0.0,1.0,3.0,0.0,0.29
city_21,0.624,Unknown,No relevent experience,Full time course,High School,Unknown,2.0,300.0,Unknown,0.0,32.0,1.0,0.0,0.0,1.0,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5.0,7500.0,Pvt Ltd,1.0,108.0,0.0,1.0,1.0,0.0,0.2
city_61,0.9129999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,3000.0,Pvt Ltd,3.0,23.0,0.0,1.0,3.0,0.0,0.14
city_21,0.624,Male,No relevent experience,Unknown,Unknown,Unknown,2.0,300.0,Unknown,0.0,24.0,0.0,0.0,0.0,0.0,0.0
city_21,0.624,Unknown,No relevent experience,Full time course,High School,Unknown,5.0,300.0,Unknown,0.0,26.0,0.0,0.0,1.0,1.0,0.0
city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,16.0,10.0,Pvt Ltd,5.0,18.0,0.0,1.0,3.0,0.0,0.31
city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,1.0,75.0,Pvt Ltd,0.0,106.0,0.0,1.0,0.0,0.0,0.0
city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,2.0,7500.0,Pvt Ltd,2.0,7.0,0.0,1.0,0.0,0.0,1.0
city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,7.0,10005.0,Pvt Ltd,0.0,23.0,1.0,1.0,1.0,0.0,0.0
city_13,0.8270000000000001,Female,Has relevent experience,no_enrollment,Graduate,Arts,4.0,300.0,Unknown,1.0,132.0,1.0,0.0,1.0,0.0,0.25
city_159,0.843,Male,Has relevent experience,no_enrollment,Masters,STEM,11.0,300.0,Pvt Ltd,1.0,68.0,0.0,1.0,2.0,0.0,0.09
city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,11.0,300.0,Pvt Ltd,2.0,50.0,0.0,1.0,2.0,0.0,0.18
city_102,0.804,Unknown,Has relevent experience,no_enrollment,Masters,STEM,10.0,300.0,Unknown,1.0,48.0,0.0,1.0,2.0,0.0,0.1
city_40,0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,Humanities,0.0,3000.0,Pvt Ltd,0.0,65.0,0.0,0.0,0.0,0.0,0.0
city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,5.0,3000.0,Pvt Ltd,1.0,13.0,0.0,1.0,1.0,0.0,0.2
city_67,0.855,Unknown,No relevent experience,no_enrollment,High School,Unknown,4.0,300.0,Unknown,0.0,22.0,0.0,0.0,1.0,0.0,0.0
city_21,0.624,Unknown,Has relevent experience,Part time course,Graduate,STEM,14.0,750.0,Pvt Ltd,1.0,148.0,1.0,1.0,2.0,1.0,0.07
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,5.0,300.0,Unknown,2.0,72.0,0.0,0.0,1.0,0.0,0.4
city_100,0.887,Male,Has relevent experience,no_enrollment,High School,Unknown,11.0,9.0,Pvt Ltd,1.0,8.0,1.0,0.0,2.0,0.0,0.09
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,18.0,75.0,Funded Startup,2.0,68.0,1.0,1.0,3.0,0.0,0.11
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21.0,300.0,Pvt Ltd,3.0,40.0,0.0,1.0,3.0,0.0,0.14
city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,19.0,7500.0,Pvt Ltd,5.0,141.0,0.0,1.0,3.0,1.0,0.26
city_103,0.92,Female,No relevent experience,Full time course,Graduate,STEM,5.0,300.0,Unknown,1.0,24.0,0.0,1.0,1.0,1.0,0.2
city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,21.0,300.0,Pvt Ltd,5.0,82.0,0.0,1.0,3.0,0.0,0.24
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12.0,7500.0,Pvt Ltd,3.0,145.0,0.0,0.0,2.0,0.0,0.25
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10.0,10.0,Early Stage Startup,2.0,185.5,0.0,1.0,2.0,0.0,0.2
city_114,0.9259999999999999,Male,No relevent experience,Part time course,High School,Unknown,1.0,10005.0,Other,1.0,152.0,0.0,0.0,0.0,1.0,1.0
city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Phd,STEM,21.0,300.0,Pvt Ltd,4.0,42.0,1.0,1.0,3.0,0.0,0.19
city_103,0.92,Unknown,No relevent experience,no_enrollment,Graduate,STEM,12.0,300.0,Unknown,4.0,50.0,0.0,1.0,2.0,0.0,0.33
city_71,0.884,Male,No relevent experience,no_enrollment,Unknown,Unknown,3.0,300.0,Unknown,0.0,106.0,0.0,0.0,1.0,0.0,0.0
city_114,0.9259999999999999,Female,Has relevent experience,Full time course,Masters,STEM,16.0,3000.0,Public Sector,2.0,14.0,0.0,1.0,3.0,1.0,0.12
city_104,0.924,Male,Has relevent experience,no_enrollment,High School,Unknown,4.0,10.0,Pvt Ltd,2.0,36.0,0.0,0.0,1.0,0.0,0.5
city_21,0.624,Unknown,Has relevent experience,no_enrollment,Masters,STEM,6.0,75.0,Early Stage Startup,1.0,112.0,1.0,1.0,1.0,0.0,0.17
